0,0,25,2022-01-01 01:01:01
1,0,51,2022-01-01 01:01:01
2,0,45,2022-01-01 01:01:01
3,1,18,2022-01-01 01:17:01
4,2,60,2022-01-01 01:33:01
5,3,23,2022-01-01 01:49:01
6,3,46,2022-01-01 01:49:01
7,4,44,2022-01-01 02:05:01
8,4,22,2022-01-01 02:05:01
9,5,34,2022-01-01 02:21:01
10,5,20,2022-01-01 02:21:01
11,5,13,2022-01-01 02:21:01
12,6,40,2022-01-01 02:37:01
13,6,43,2022-01-01 02:37:01
14,7,10,2022-01-01 02:53:01
15,7,24,2022-01-01 02:53:01
16,8,39,2022-01-01 03:09:01
17,9,45,2022-01-01 03:25:01
18,10,4,2022-01-01 03:41:01
19,10,31,2022-01-01 03:41:01
20,11,20,2022-01-01 03:57:01
21,11,3,2022-01-01 03:57:01
22,11,38,2022-01-01 03:57:01
23,12,44,2022-01-01 04:13:01
24,12,35,2022-01-01 04:13:01
25,13,24,2022-01-01 04:29:01
26,13,18,2022-01-01 04:29:01
27,13,60,2022-01-01 04:29:01
28,14,39,2022-01-01 04:45:01
29,14,49,2022-01-01 04:45:01
30,15,46,2022-01-01 05:01:01
31,15,36,2022-01-01 05:01:01
32,15,37,2022-01-01 05:01:01
33,16,49,2022-01-01 05:17:01
34,17,18,2022-01-01 05:33:01
35,17,31,2022-01-01 05:33:01
36,17,28,2022-01-01 05:33:01
37,18,58,2022-01-01 05:49:01
38,18,37,2022-01-01 05:49:01
39,19,34,2022-01-01 06:05:01
40,19,46,2022-01-01 06:05:01
41,19,60,2022-01-01 06:05:01
42,20,8,2022-01-01 06:21:01
43,20,59,2022-01-01 06:21:01
44,20,14,2022-01-01 06:21:01
45,21,27,2022-01-01 06:37:01
46,21,58,2022-01-01 06:37:01
47,22,47,2022-01-01 06:53:01
48,23,32,2022-01-01 07:09:01
49,24,17,2022-01-01 07:25:01
50,24,9,2022-01-01 07:25:01
51,25,58,2022-01-01 07:41:01
52,25,56,2022-01-01 07:41:01
53,25,32,2022-01-01 07:41:01
54,26,32,2022-01-01 07:57:01
55,26,25,2022-01-01 07:57:01
56,27,27,2022-01-01 08:13:01
57,28,6,2022-01-01 08:29:01
58,28,11,2022-01-01 08:29:01
59,28,26,2022-01-01 08:29:01
60,29,36,2022-01-01 08:45:01
61,30,51,2022-01-01 09:01:01
