0,3,0
1,60,0
2,58,0
3,132,1
4,66,2
5,62,3
6,29,4
7,82,4
8,3,5
9,4,5
10,41,6
11,104,7
12,132,7
13,70,7
14,132,8
15,93,8
16,56,8
17,96,9
18,64,10
19,82,10
20,54,10
21,112,11
22,95,12
23,129,12
24,52,12
25,13,13
26,79,13
27,118,14
28,68,14
29,114,14
30,32,15
31,16,15
32,47,16
33,131,17
34,60,17
35,47,18
36,20,18
37,80,19
38,97,20
39,119,20
40,21,20
41,112,21
42,104,22
43,1,22
44,126,22
45,91,23
46,3,24
47,110,24
48,131,25
49,27,25
50,3,26
51,122,26
52,15,27
53,47,27
54,75,28
55,30,28
56,92,28
57,38,29
58,17,30
59,3,31
60,60,32
61,106,32
62,68,32
63,51,33
64,37,33
65,80,33
66,100,34
67,130,34
68,61,34
69,113,35
70,4,35
71,60,36
72,12,36
73,91,37
74,80,37
75,41,38
76,123,39
77,27,40
78,122,40
79,89,41
80,36,42
81,29,42
82,89,42
83,124,43
84,88,43
85,9,44
86,35,44
87,111,44
88,42,45
89,117,46
90,17,46
91,39,46
92,70,47
93,15,47
94,53,47
95,46,48
96,85,49
97,92,49
98,41,50
99,30,50
100,25,51
101,68,52
102,51,52
103,118,52
104,42,53
105,87,54
106,75,54
107,57,55
108,87,56
109,63,56
110,80,56
111,16,57
112,43,58
113,47,58
114,26,58
115,84,59
116,31,60
117,114,61
118,104,62
119,80,62
120,82,63
121,13,63
122,80,63
123,38,64
124,54,65
125,28,65
126,95,66
127,63,66
128,100,66
129,63,67
130,25,67
131,5,68
132,61,69
133,51,69
134,53,69
135,89,70
136,19,71
137,120,71
138,74,72
139,2,73
140,54,74
141,9,74
142,125,74
143,129,75
144,48,75
145,19,76
146,103,77
147,105,78
148,54,78
149,84,79
150,64,80
151,17,80
152,127,81
153,39,81
154,90,81
155,34,82
156,80,82
157,130,82
158,57,83
159,54,83
160,94,83
161,94,84
162,96,84
163,95,84
164,122,85
165,25,85
166,131,85
167,42,86
168,130,86
169,26,86
170,52,87
171,34,87
172,100,87
173,132,88
174,63,88
175,21,88
176,8,89
177,80,89
178,63,90
179,90,90
180,11,90
181,26,91
